001,001,aguascalientes
001,002,asientos
001,003,calvillo
001,004,cosio
001,005,jesus maria
001,006,pabellon de arteaga
001,007,rincon de romos
001,008,san jose de gracia
001,009,tepezala
001,010,el llano
001,011,san francisco de los romo
002,001,ensenada
002,002,mexicali
002,003,tecate
002,004,tijuana
002,005,playas de rosarito
002,006,san quintin
003,001,comondu
003,002,mulege
003,003,la paz
003,008,los cabos
003,009,loreto
004,001,calkini
004,002,campeche
004,003,carmen
004,004,champoton
004,005,hecelchakan
004,006,hopelchen
004,007,palizada
004,008,tenabo
004,009,escarcega
004,010,calakmul
004,011,candelaria
004,012,seybaplaya
004,013,dzitbalche
005,001,abasolo
005,002,acuña
005,003,allende
005,004,arteaga
005,005,candela
005,006,castaños
005,007,cuatro cienegas
005,008,escobedo
005,009,francisco i. madero
005,010,frontera
005,011,general cepeda
005,012,guerrero
005,013,hidalgo
005,014,jimenez
005,015,juarez
005,016,lamadrid
005,017,matamoros
005,018,monclova
005,019,morelos
005,020,muzquiz
005,021,nadadores
005,022,nava
005,023,ocampo
005,024,parras
005,025,piedras negras
005,026,progreso
005,027,ramos arizpe
005,028,sabinas
005,029,sacramento
005,030,saltillo
005,031,san buenaventura
005,032,san juan de sabinas
005,033,san pedro
005,034,sierra mojada
005,035,torreon
005,036,viesca
005,037,villa union
005,038,zaragoza
006,001,armeria
006,002,colima
006,003,comala
006,004,coquimatlan
006,005,cuauhtemoc
006,006,ixtlahuacan
006,007,manzanillo
006,008,minatitlan
006,009,tecoman
006,010,villa de alvarez
007,001,acacoyagua
007,002,acala
007,003,acapetahua
007,004,altamirano
007,005,amatan
007,006,amatenango de la frontera
007,007,amatenango del valle
007,008,angel albino corzo
007,009,arriaga
007,010,bejucal de ocampo
007,011,bella vista
007,012,berriozabal
007,013,bochil
007,014,el bosque
007,015,cacahoatan
007,016,catazaja
007,017,cintalapa
007,018,coapilla
007,019,comitan de dominguez
007,020,la concordia
007,021,copainala
007,022,chalchihuitan
007,023,chamula
007,024,chanal
007,025,chapultenango
007,026,chenalho
